team,venue,matches_played,matches_won,win_percentage
Deccan Chargers,SuperSport Park,8,4,50.0
Deccan Chargers,Wankhede Stadium,4,2,50.0
Deccan Chargers,De Beers Diamond Oval,4,2,50.0
Deccan Chargers,"MA Chidambaram Stadium, Chepauk",8,4,50.0
Deccan Chargers,Feroz Shah Kotla,8,4,50.0
Deccan Chargers,M Chinnaswamy Stadium,6,2,33.33
Deccan Chargers,Dr DY Patil Sports Academy,12,4,33.33
Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",36,6,16.67
Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",4,0,0.0
Deccan Chargers,Brabourne Stadium,2,0,0.0
Deccan Chargers,Sawai Mansingh Stadium,4,0,0.0
Deccan Chargers,St George's Park,2,0,0.0
Deccan Chargers,Eden Gardens,6,0,0.0
Deccan Chargers,"Sardar Patel Stadium, Motera",2,0,0.0
Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,0,0.0
Deccan Chargers,Buffalo Park,2,0,0.0
Delhi Capitals,Rajiv Gandhi International Stadium,2,2,100.0
Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,1,1,100.0
Delhi Capitals,"Zayed Cricket Stadium, Abu Dhabi",2,2,100.0
Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,2,100.0
Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,2,100.0
Delhi Capitals,M. Chinnaswamy Stadium,1,1,100.0
Delhi Capitals,Sawai Mansingh Stadium,3,3,100.0
Delhi Capitals,Eden Gardens,3,3,100.0
Delhi Capitals,Wankhede Stadium,3,3,100.0
Delhi Capitals,"Brabourne Stadium, Mumbai",8,8,100.0
Delhi Capitals,M.Chinnaswamy Stadium,2,2,100.0
Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8,6,75.0
Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",12,8,66.67
Delhi Capitals,Sharjah Cricket Stadium,12,8,66.67
Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,4,66.67
Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",7,4,57.14
Delhi Capitals,Feroz Shah Kotla Ground,7,4,57.14
Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",8,4,50.0
Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,2,50.0
Delhi Capitals,ACA-VDCA Stadium,2,1,50.0
Delhi Capitals,Arun Jaitley Stadium,13,6,46.15
Delhi Capitals,"Arun Jaitley Stadium, Delhi",27,12,44.44
Delhi Capitals,Dubai International Cricket Stadium,25,10,40.0
Delhi Capitals,Sheikh Zayed Stadium,10,4,40.0
Delhi Capitals,"Wankhede Stadium, Mumbai",18,6,33.33
Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",6,2,33.33
Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,2,0,0.0
Delhi Capitals,MA Chidambaram Stadium,2,0,0.0
Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",2,0,0.0
Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",2,0,0.0
Delhi Capitals,"Eden Gardens, Kolkata",2,0,0.0
Delhi Capitals,IS Bindra Stadium,1,0,0.0
Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",2,0,0.0
Delhi Capitals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,0,0.0
Delhi Capitals,M. A. Chidambaram Stadium,1,0,0.0
Delhi Daredevils,Newlands,2,2,100.0
Delhi Daredevils,Saurashtra Cricket Association Stadium,2,2,100.0
Delhi Daredevils,Green Park,2,2,100.0
Delhi Daredevils,St George's Park,2,2,100.0
Delhi Daredevils,Buffalo Park,2,2,100.0
Delhi Daredevils,Kingsmead,6,6,100.0
Delhi Daredevils,Nehru Stadium,2,2,100.0
Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,12,8,66.67
Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",13,8,61.54
Delhi Daredevils,Arun Jaitley Stadium,14,8,57.14
Delhi Daredevils,Maharashtra Cricket Association Stadium,7,4,57.14
Delhi Daredevils,SuperSport Park,8,4,50.0
Delhi Daredevils,Sharjah Cricket Stadium,4,2,50.0
Delhi Daredevils,Dubai International Cricket Stadium,4,2,50.0
Delhi Daredevils,Dr DY Patil Sports Academy,4,2,50.0
Delhi Daredevils,OUTsurance Oval,4,2,50.0
Delhi Daredevils,"Sardar Patel Stadium, Motera",4,2,50.0
Delhi Daredevils,M Chinnaswamy Stadium,13,6,46.15
Delhi Daredevils,Feroz Shah Kotla,118,50,42.37
Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,6,2,33.33
Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",6,2,33.33
Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,2,33.33
Delhi Daredevils,Subrata Roy Sahara Stadium,6,2,33.33
Delhi Daredevils,New Wanderers Stadium,6,2,33.33
Delhi Daredevils,Wankhede Stadium,17,5,29.41
Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",14,4,28.57
Delhi Daredevils,Sawai Mansingh Stadium,11,2,18.18
Delhi Daredevils,Eden Gardens,17,2,11.76
Delhi Daredevils,Brabourne Stadium,4,0,0.0
Delhi Daredevils,Barabati Stadium,2,0,0.0
Delhi Daredevils,Rajiv Gandhi International Stadium,2,0,0.0
Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,0,0.0
Delhi Daredevils,Punjab Cricket Association IS Bindra Stadium,2,0,0.0
Delhi Daredevils,M.Chinnaswamy Stadium,4,0,0.0
Delhi Daredevils,Sheikh Zayed Stadium,2,0,0.0
Gujarat Lions,Eden Gardens,4,4,100.0
Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,4,100.0
Gujarat Lions,Green Park,8,4,50.0
Gujarat Lions,Maharashtra Cricket Association Stadium,4,2,50.0
Gujarat Lions,Wankhede Stadium,4,2,50.0
Gujarat Lions,M Chinnaswamy Stadium,6,2,33.33
Gujarat Lions,Feroz Shah Kotla,6,2,33.33
Gujarat Lions,Saurashtra Cricket Association Stadium,19,6,31.58
Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",4,0,0.0
Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,2,100.0
Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4,4,100.0
Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,2,100.0
Gujarat Titans,"Eden Gardens, Kolkata",6,6,100.0
Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",6,6,100.0
Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,2,100.0
Gujarat Titans,"Brabourne Stadium, Mumbai",6,4,66.67
Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",6,4,66.67
Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",40,24,60.0
Gujarat Titans,"Wankhede Stadium, Mumbai",10,6,60.0
Gujarat Titans,"Arun Jaitley Stadium, Delhi",4,2,50.0
Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",8,4,50.0
Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,2,33.33
Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",4,0,0.0
Kings XI Punjab,St George's Park,2,2,100.0
Kings XI Punjab,OUTsurance Oval,2,2,100.0
Kings XI Punjab,Saurashtra Cricket Association Stadium,4,4,100.0
Kings XI Punjab,De Beers Diamond Oval,2,2,100.0
Kings XI Punjab,New Wanderers Stadium,2,2,100.0
Kings XI Punjab,Sharjah Cricket Stadium,10,8,80.0
Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,20,16,80.0
Kings XI Punjab,IS Bindra Stadium,7,5,71.43
Kings XI Punjab,Dubai International Cricket Stadium,14,8,57.14
Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,18,10,55.56
Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",70,36,51.43
Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,2,50.0
Kings XI Punjab,Newlands,4,2,50.0
Kings XI Punjab,Arun Jaitley Stadium,4,2,50.0
Kings XI Punjab,Subrata Roy Sahara Stadium,4,2,50.0
Kings XI Punjab,M Chinnaswamy Stadium,21,10,47.62
Kings XI Punjab,Feroz Shah Kotla,19,9,47.37
Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",17,8,47.06
Kings XI Punjab,Holkar Cricket Stadium,20,9,45.0
Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",25,11,44.0
Kings XI Punjab,Wankhede Stadium,24,10,41.67
Kings XI Punjab,Kingsmead,12,4,33.33
Kings XI Punjab,Sheikh Zayed Stadium,12,4,33.33
Kings XI Punjab,Barabati Stadium,6,2,33.33
Kings XI Punjab,Eden Gardens,24,7,29.17
Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",9,2,22.22
Kings XI Punjab,Sawai Mansingh Stadium,14,3,21.43
Kings XI Punjab,"Sardar Patel Stadium, Motera",1,0,0.0
Kings XI Punjab,SuperSport Park,4,0,0.0
Kings XI Punjab,Rajiv Gandhi International Stadium,4,0,0.0
Kings XI Punjab,Maharashtra Cricket Association Stadium,11,0,0.0
Kings XI Punjab,M. Chinnaswamy Stadium,1,0,0.0
Kings XI Punjab,Feroz Shah Kotla Ground,1,0,0.0
Kings XI Punjab,Brabourne Stadium,2,0,0.0
Kings XI Punjab,Dr DY Patil Sports Academy,2,0,0.0
Kings XI Punjab,M. A. Chidambaram Stadium,1,0,0.0
Kings XI Punjab,M.Chinnaswamy Stadium,4,0,0.0
Kings XI Punjab,Rajiv Gandhi Intl. Cricket Stadium,1,0,0.0
Kings XI Punjab,MA Chidambaram Stadium,2,0,0.0
Kochi Tuskers Kerala,Feroz Shah Kotla,2,2,100.0
Kochi Tuskers Kerala,Wankhede Stadium,2,2,100.0
Kochi Tuskers Kerala,Eden Gardens,2,2,100.0
Kochi Tuskers Kerala,Holkar Cricket Stadium,4,2,50.0
Kochi Tuskers Kerala,Nehru Stadium,10,4,40.0
Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2,0,0.0
Kochi Tuskers Kerala,M Chinnaswamy Stadium,2,0,0.0
Kochi Tuskers Kerala,Sawai Mansingh Stadium,2,0,0.0
Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",2,0,0.0
Kolkata Knight Riders,Holkar Cricket Stadium,3,3,100.0
Kolkata Knight Riders,Saurashtra Cricket Association Stadium,2,2,100.0
Kolkata Knight Riders,Barabati Stadium,6,6,100.0
Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,2,2,100.0
Kolkata Knight Riders,Subrata Roy Sahara Stadium,6,6,100.0
Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,2,100.0
Kolkata Knight Riders,IS Bindra Stadium,1,1,100.0
Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati",2,2,100.0
Kolkata Knight Riders,Dr DY Patil Sports Academy,4,4,100.0
Kolkata Knight Riders,Maharashtra Cricket Association Stadium,6,6,100.0
Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,2,100.0
Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",4,4,100.0
Kolkata Knight Riders,M.Chinnaswamy Stadium,4,4,100.0
Kolkata Knight Riders,M. Chinnaswamy Stadium,1,1,100.0
Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,2,100.0
Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",8,6,75.0
Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",13,9,69.23
Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",6,4,66.67
Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",6,4,66.67
Kolkata Knight Riders,Sharjah Cricket Stadium,16,10,62.5
Kolkata Knight Riders,Eden Gardens,164,98,59.76
Kolkata Knight Riders,Feroz Shah Kotla,17,10,58.82
Kolkata Knight Riders,Sawai Mansingh Stadium,14,8,57.14
Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",14,8,57.14
Kolkata Knight Riders,M Chinnaswamy Stadium,23,13,56.52
Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,2,50.0
Kolkata Knight Riders,Rajiv Gandhi International Stadium,4,2,50.0
Kolkata Knight Riders,Sheikh Zayed Stadium,20,10,50.0
Kolkata Knight Riders,SuperSport Park,4,2,50.0
Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",8,4,50.0
Kolkata Knight Riders,Kingsmead,8,4,50.0
Kolkata Knight Riders,"Wankhede Stadium, Mumbai",18,8,44.44
Kolkata Knight Riders,"Eden Gardens, Kolkata",37,16,43.24
Kolkata Knight Riders,Dubai International Cricket Stadium,14,6,42.86
Kolkata Knight Riders,JSCA International Stadium Complex,6,2,33.33
Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",15,4,26.67
Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",8,2,25.0
Kolkata Knight Riders,Wankhede Stadium,20,2,10.0
Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,1,0,0.0
Kolkata Knight Riders,Buffalo Park,2,0,0.0
Kolkata Knight Riders,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,0,0.0
Kolkata Knight Riders,Arun Jaitley Stadium,3,0,0.0
Kolkata Knight Riders,New Wanderers Stadium,4,0,0.0
Kolkata Knight Riders,Nehru Stadium,2,0,0.0
Kolkata Knight Riders,"Brabourne Stadium, Mumbai",6,0,0.0
Kolkata Knight Riders,St George's Park,4,0,0.0
Kolkata Knight Riders,Green Park,2,0,0.0
Kolkata Knight Riders,"Sardar Patel Stadium, Motera",4,0,0.0
Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0,0.0
Kolkata Knight Riders,MA Chidambaram Stadium,4,0,0.0
Kolkata Knight Riders,Newlands,3,0,0.0
Kolkata Knight Riders,M. A. Chidambaram Stadium,1,0,0.0
Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",2,0,0.0
Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,0,0.0
Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,2,0,0.0
Kolkata Knight Riders,Brabourne Stadium,4,0,0.0
Kolkata Knight Riders,Feroz Shah Kotla Ground,1,0,0.0
Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",4,4,100.0
Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,2,100.0
Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",8,6,75.0
Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,4,66.67
Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",6,4,66.67
Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,4,66.67
Lucknow Super Giants,"Brabourne Stadium, Mumbai",6,4,66.67
Lucknow Super Giants,"Wankhede Stadium, Mumbai",10,6,60.0
Lucknow Super Giants,"Eden Gardens, Kolkata",8,4,50.0
Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",37,18,48.65
Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",6,2,33.33
Lucknow Super Giants,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,0,0.0
Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",2,0,0.0
Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",2,0,0.0
Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,2,100.0
Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,2,2,100.0
Mumbai Indians,M. A. Chidambaram Stadium,2,2,100.0
Mumbai Indians,Holkar Cricket Stadium,5,5,100.0
Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,2,100.0
Mumbai Indians,Feroz Shah Kotla Ground,1,1,100.0
Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,2,100.0
Mumbai Indians,M. Chinnaswamy Stadium,1,1,100.0
Mumbai Indians,Newlands,2,2,100.0
Mumbai Indians,Subrata Roy Sahara Stadium,4,4,100.0
Mumbai Indians,MA Chidambaram Stadium,4,4,100.0
Mumbai Indians,"Arun Jaitley Stadium, Delhi",10,8,80.0
Mumbai Indians,M Chinnaswamy Stadium,21,16,76.19
Mumbai Indians,Eden Gardens,28,21,75.0
Mumbai Indians,Dr DY Patil Sports Academy,14,10,71.43
Mumbai Indians,Maharashtra Cricket Association Stadium,7,5,71.43
Mumbai Indians,Brabourne Stadium,14,10,71.43
Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,4,66.67
Mumbai Indians,Sheikh Zayed Stadium,18,12,66.67
Mumbai Indians,St George's Park,6,4,66.67
Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",6,4,66.67
Mumbai Indians,Rajiv Gandhi International Stadium,6,4,66.67
Mumbai Indians,Wankhede Stadium,147,90,61.22
Mumbai Indians,"Wankhede Stadium, Mumbai",44,26,59.09
Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",17,10,58.82
Mumbai Indians,M.Chinnaswamy Stadium,4,2,50.0
Mumbai Indians,Arun Jaitley Stadium,4,2,50.0
Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",12,6,50.0
Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,4,50.0
Mumbai Indians,"Sardar Patel Stadium, Motera",4,2,50.0
Mumbai Indians,Sharjah Cricket Stadium,12,6,50.0
Mumbai Indians,Buffalo Park,4,2,50.0
Mumbai Indians,"MA Chidambaram Stadium, Chepauk",12,6,50.0
Mumbai Indians,"Brabourne Stadium, Mumbai",8,4,50.0
Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",16,6,37.5
Mumbai Indians,SuperSport Park,6,2,33.33
Mumbai Indians,Dubai International Cricket Stadium,18,6,33.33
Mumbai Indians,Feroz Shah Kotla,19,6,31.58
Mumbai Indians,Sawai Mansingh Stadium,16,4,25.0
Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",8,2,25.0
Mumbai Indians,IS Bindra Stadium,1,0,0.0
Mumbai Indians,"Eden Gardens, Kolkata",2,0,0.0
Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,2,0,0.0
Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,0,0.0
Mumbai Indians,Saurashtra Cricket Association Stadium,1,0,0.0
Mumbai Indians,Kingsmead,6,0,0.0
Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",2,0,0.0
Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru",2,0,0.0
Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",8,0,0.0
Mumbai Indians,Himachal Pradesh Cricket Association Stadium,2,0,0.0
Mumbai Indians,New Wanderers Stadium,2,0,0.0
Mumbai Indians,Green Park,2,0,0.0
Mumbai Indians,Barabati Stadium,2,0,0.0
Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",6,0,0.0
Pune Warriors,JSCA International Stadium Complex,2,2,100.0
Pune Warriors,Feroz Shah Kotla,3,2,66.67
Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",4,2,50.0
Pune Warriors,Wankhede Stadium,6,2,33.33
Pune Warriors,"MA Chidambaram Stadium, Chepauk",6,2,33.33
Pune Warriors,"Punjab Cricket Association Stadium, Mohali",6,2,33.33
Pune Warriors,Dr DY Patil Sports Academy,14,4,28.57
Pune Warriors,Subrata Roy Sahara Stadium,30,8,26.67
Pune Warriors,M Chinnaswamy Stadium,6,0,0.0
Pune Warriors,Shaheed Veer Narayan Singh International Stadium,2,0,0.0
Pune Warriors,Sawai Mansingh Stadium,6,0,0.0
Pune Warriors,Eden Gardens,2,0,0.0
Pune Warriors,Maharashtra Cricket Association Stadium,2,0,0.0
Pune Warriors,Barabati Stadium,2,0,0.0
Punjab Kings,"Arun Jaitley Stadium, Delhi",2,2,100.0
Punjab Kings,"Barsapara Cricket Stadium, Guwahati",4,4,100.0
Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",8,6,75.0
Punjab Kings,Dubai International Cricket Stadium,6,4,66.67
Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,4,66.67
Punjab Kings,"Narendra Modi Stadium, Ahmedabad",10,6,60.0
Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",4,2,50.0
Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",8,4,50.0
Punjab Kings,Sharjah Cricket Stadium,4,2,50.0
Punjab Kings,"Wankhede Stadium, Mumbai",16,8,50.0
Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",4,2,50.0
Punjab Kings,"Brabourne Stadium, Mumbai",8,4,50.0
Punjab Kings,"Eden Gardens, Kolkata",5,2,40.0
Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",18,6,33.33
Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",10,2,20.0
Punjab Kings,"Zayed Cricket Stadium, Abu Dhabi",2,0,0.0
Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,0,0.0
Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",8,0,0.0
Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,2,100.0
Rajasthan Royals,St George's Park,2,2,100.0
Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,2,100.0
Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",4,4,100.0
Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,2,100.0
Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4,4,100.0
Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",2,2,100.0
Rajasthan Royals,"Brabourne Stadium, Mumbai",6,6,100.0
Rajasthan Royals,Kingsmead,6,4,66.67
Rajasthan Royals,SuperSport Park,6,4,66.67
Rajasthan Royals,Sawai Mansingh Stadium,108,72,66.67
